"KRAJ","ORP","OBEC","BLOK","HLASYPROC"
"Vysočina","Třebíč","Hvězdoňovice","opozice",34.89
"Olomoucký","Konice","Hvozd","opozice",34.8
"Plzeňský","Kralovice","Hvozd","opozice",31.82
"Středočeský","Rakovník","Hvozd","opozice",14.59
"Jihočeský","České Budějovice","Hvozdec","opozice",47.91
"Středočeský","Hořovice","Hvozdec","opozice",43.04
"Jihomoravský","Kuřim","Hvozdec","opozice",62.83
"Zlínský","Zlín","Hvozdná","opozice",38.82
"Středočeský","Černošice","Hvozdnice","opozice",60.22
"Královéhradecký","Hradec Králové","Hvozdnice","opozice",63.02
"Plzeňský","Domažlice","Hvožďany","opozice",50
"Středočeský","Příbram","Hvožďany","opozice",42.43
"Vysočina","Jihlava","Hybrálec","opozice",53.61
"Královéhradecký","Broumov","Hynčice","opozice",54.84
"Olomoucký","Zábřeh","Hynčina","opozice",23.52
"Středočeský","Beroun","Hýskov","opozice",59.38
"Jihomoravský","Kyjov","Hýsly","opozice",51.72
"Ústecký","Ústí nad Labem","Chabařovice","opozice",23.62
"Středočeský","Kutná Hora","Chabeřice","opozice",46.75
"Středočeský","Hořovice","Chaloupky","opozice",48.51
"Plzeňský","Horažďovice","Chanovice","opozice",34.48
"Středočeský","Mladá Boleslav","Charvatce","opozice",46.15
"Olomoucký","Olomouc","Charváty","opozice",43.38
"Středočeský","Benešov","Chářovice","opozice",44.07
"Ústecký","Kadaň","Chbany","opozice",12.13
"Karlovarský","Cheb","Cheb","opozice",27.55
"Jihočeský","Vodňany","Chelčice","opozice",63.71
"Plzeňský","Rokycany","Cheznovice","opozice",37.24
"Moravskoslezský","Opava","Chlebičov","opozice",47.4
"Středočeský","Benešov","Chleby","opozice",33.33
"Středočeský","Nymburk","Chleby","opozice",29.32
"Královéhradecký","Kostelec nad Orlicí","Chleny","opozice",44.15
"Plzeňský","Klatovy","Chlistov","opozice",38.1
"Středočeský","Benešov","Chlístov","opozice",71.09
"Královéhradecký","Dobruška","Chlístov","opozice",43.59
"Vysočina","Třebíč","Chlístov","opozice",46.81
"Středočeský","Kutná Hora","Chlístovice","opozice",36.36
"Jihočeský","Blatná","Chlum","opozice",38.23
"Plzeňský","Blovice","Chlum","opozice",35.44
"Liberecký","Česká Lípa","Chlum","opozice",55.88
"Plzeňský","Rokycany","Chlum","opozice",60
"Vysočina","Třebíč","Chlum","opozice",47.63
"Středočeský","Vlašim","Chlum","opozice",19.35
"Vysočina","Bystřice nad Pernštejnem","Chlum-Korouhvice","opozice",46.15
"Karlovarský","Sokolov","Chlum Svaté Maří","opozice",32.97
"Jihočeský","Třeboň","Chlum u Třeboně","opozice",51.43
"Jihočeský","Prachatice","Chlumany","opozice",64.89
"Ústecký","Louny","Chlumčany","opozice",19.4
"Plzeňský","Přeštice","Chlumčany","opozice",38.3
"Jihočeský","Český Krumlov","Chlumec","opozice",75
"Ústecký","Ústí nad Labem","Chlumec","opozice",27.29
"Královéhradecký","Hradec Králové","Chlumec nad Cidlinou","opozice",37.68
"Vysočina","Velké Meziříčí","Chlumek","opozice",39.59
"Vysočina","Žďár nad Sázavou","Chlumětín","opozice",22.22
"Středočeský","Neratovice","Chlumín","opozice",30.23
"Plzeňský","Nepomuk","Chlumy","opozice",11.76
"Středočeský","Hořovice","Chlustina","opozice",37.51
"Pardubický","Litomyšl","Chmelík","opozice",17.3
"Středočeský","Vlašim","Chmelná","opozice",69.84
"Jihočeský","Blatná","Chobot","opozice",13.64
"Pardubický","Vysoké Mýto","Choceň","opozice",27.65
"Plzeňský","Blovice","Chocenice","opozice",28.67
"Středočeský","Benešov","Chocerady","opozice",51.7
"Středočeský","Mnichovo Hradiště","Chocnějovice","opozice",53.91
"Plzeňský","Domažlice","Chocomyšl","opozice",15
"Středočeský","Beroun","Chodouň","opozice",41
"Ústecký","Roudnice nad Labem","Chodouny","opozice",25.15
"Plzeňský","Domažlice","Chodov","opozice",27.17
"Karlovarský","Karlovy Vary","Chodov","opozice",13.16
"Karlovarský","Sokolov","Chodov","opozice",13.06
"Plzeňský","Tachov","Chodová Planá","opozice",32.58
"Ústecký","Lovosice","Chodovlice","opozice",18.36
"Plzeňský","Domažlice","Chodská Lhota","opozice",51.77
"Plzeňský","Tachov","Chodský Újezd","opozice",21.35
"Královéhradecký","Jičín","Cholenice","opozice",6.35
"Olomoucký","Litovel","Cholina","opozice",46.08
"Pardubický","Přelouč","Choltice","opozice",33.66
"Plzeňský","Rokycany","Chomle","opozice",25.72
"Královéhradecký","Hořice","Chomutice","opozice",29.37
"Ústecký","Chomutov","Chomutov","opozice",26.42
"Zlínský","Bystřice pod Hostýnem","Chomýž","opozice",36.63
"Středočeský","Benešov","Choratice","opozice",76
"Pardubický","Moravská Třebová","Chornice","opozice",11.98
"Středočeský","Mělník","Chorušice","opozice",20.86
"Zlínský","Valašské Meziříčí","Choryně","opozice",39.07
"Středočeský","Poděbrady","Choťánky","opozice",53.19
"Vysočina","Chotěboř","Chotěboř","opozice",41.77
"Vysočina","Moravské Budějovice","Chotěbudice","opozice",42.3
"Moravskoslezský","Český Těšín","Chotěbuz","opozice",45.48
"Středočeský","Černošice","Choteč","opozice",52.25
"Královéhradecký","Jičín","Choteč","opozice",55.07
"Pardubický","Pardubice","Choteč","opozice",16.35
"Jihočeský","Soběslav","Chotěmice","opozice",59.18
"Pardubický","Litomyšl","Chotěnov","opozice",35.71
"Středočeský","Poděbrady","Chotěšice","opozice",34.17
"Ústecký","Lovosice","Chotěšov","opozice",29.9
"Plzeňský","Stod","Chotěšov","opozice",35.6
"Středočeský","Mladá Boleslav","Chotětov","opozice",55.1
"Královéhradecký","Trutnov","Chotěvice","opozice",32.5
"Plzeňský","Nýřany","Chotíkov","opozice",43.65
"Středočeský","Dobříš","Chotilsko","opozice",55.25
"Ústecký","Lovosice","Chotiměř","opozice",27.27
"Ústecký","Litoměřice","Chotiněves","opozice",36.51
"Pardubický","Litomyšl","Chotovice","opozice",28.13
"Liberecký","Nový Bor","Chotovice","opozice",53.23
"Středočeský","Kolín","Choťovice","opozice",39.73
"Jihočeský","Tábor","Chotoviny","opozice",55.6
"Středočeský","Čáslav","Chotusice","opozice",34.66
"Středočeský","Kolín","Chotutice","opozice",42.95
"Jihočeský","České Budějovice","Chotýčany","opozice",67.39
"Liberecký","Liberec","Chotyně","opozice",52.65
"Středočeský","Benešov","Chotýšany","opozice",39.52
"Jihočeský","Tábor","Choustník","opozice",66.43
"Královéhradecký","Dvůr Králové nad Labem","Choustníkovo Hradiště","opozice",50.87
"Ústecký","Louny","Chožov","opozice",13.89
"Ústecký","Louny","Chraberce","opozice",31.91
"Pardubický","Chrudim","Chrast","opozice",13.34
"Středočeský","Nymburk","Chrást","opozice",44.61
"Plzeňský","Plzeň","Chrást","opozice",43.91
"Středočeský","Příbram","Chrást","opozice",25.45
"Liberecký","Liberec","Chrastava","opozice",52.62
"Pardubický","Svitavy","Chrastavec","opozice",19.7
"Plzeňský","Domažlice","Chrastavice","opozice",46.83
"Středočeský","Benešov","Chrášťany","opozice",56
"Středočeský","Černošice","Chrášťany","opozice",56.08
"Středočeský","Český Brod","Chrášťany","opozice",40.34
"Středočeský","Rakovník","Chrášťany","opozice",23.57
"Jihočeský","Týn nad Vltavou","Chrášťany","opozice",63.51
"Středočeský","Příbram","Chraštice","opozice",51.39
"Jihočeský","Strakonice","Chrášťovice","opozice",66.26
"Jihočeský","Tábor","Chrbonín","opozice",44.78
"Jihočeský","Prachatice","Chroboly","opozice",50.01
"Olomoucký","Šumperk","Chromeč","opozice",63.04
"Zlínský","Kroměříž","Chropyně","opozice",16.49
"Středočeský","Poděbrady","Chroustov","opozice",22.89
"Pardubický","Chrudim","Chroustovice","opozice",18.52
"Vysočina","Havlíčkův Brod","Chrtníč","opozice",47.36
"Pardubický","Přelouč","Chrtníky","opozice",25
"Jihomoravský","Boskovice","Chrudichromy","opozice",31.04
"Pardubický","Chrudim","Chrudim","opozice",26.23
"Středočeský","Beroun","Chrustenice","opozice",59.86
"Středočeský","Slaný","Chržín","opozice",43.05
"Vysočina","Světlá nad Sázavou","Chřenovice","opozice",20.38
"Ústecký","Varnsdorf","Chřibská","opozice",28.05
"Plzeňský","Kralovice","Chříč","opozice",44.28
"Jihomoravský","Kuřim","Chudčice","opozice",57.19
"Plzeňský","Klatovy","Chudenice","opozice",28.14
"Plzeňský","Klatovy","Chudenín","opozice",43.33
"Ústecký","Ústí nad Labem","Chuderov","opozice",42.7
"Královéhradecký","Hradec Králové","Chudeřice","opozice",42.31
"Středočeský","Mladá Boleslav","Chudíř","opozice",29.4
"Ústecký","Litoměřice","Chudoslavice","opozice",30.19
"Liberecký","Semily","Chuchelna","opozice",53.57
"Moravskoslezský","Kravaře","Chuchelná","opozice",30.37
"Jihomoravský","Znojmo","Chvalatice","opozice",25.92
"Zlínský","Bystřice pod Hostýnem","Chvalčov","opozice",34.68
"Královéhradecký","Trutnov","Chvaleč","opozice",36.48
"Plzeňský","Plzeň","Chválenice","opozice",49.56
"Pardubický","Přelouč","Chvaletice","opozice",18.05
"Moravskoslezský","Opava","Chvalíkovice","opozice",22.32
"Jihomoravský","Bučovice","Chvalkovice","opozice",29.89
"Královéhradecký","Jaroměř","Chvalkovice","opozice",35.2
"Zlínský","Kroměříž","Chvalnov-Lísky","opozice",40.54
"Jihočeský","Prachatice","Chvalovice","opozice",64.81
"Jihomoravský","Znojmo","Chvalovice","opozice",39.43
"Jihočeský","Český Krumlov","Chvalšiny","opozice",50.47
"Středočeský","Kralupy nad Vltavou","Chvatěruby","opozice",35
"Pardubický","Holice","Chvojenec","opozice",30.36
"Královéhradecký","Jičín","Chyjice","opozice",28.95
"Středočeský","Beroun","Chyňava","opozice",43.43
"Středočeský","Černošice","Chýně","opozice",71.55
"Středočeský","Černošice","Chýnice","opozice",74.26
"Jihočeský","Tábor","Chýnov","opozice",55
"Vysočina","Pelhřimov","Chýstovice","opozice",26.31
"Karlovarský","Karlovy Vary","Chyše","opozice",13.09
"Jihočeský","Milevsko","Chyšky","opozice",55.86
"Vysočina","Pelhřimov","Chyšná","opozice",34.62
"Pardubický","Pardubice","Chýšť","opozice",24
"Jihomoravský","Pohořelice","Ivaň","opozice",41.87
"Olomoucký","Prostějov","Ivaň","opozice",34.96
"Jihomoravský","Ivančice","Ivančice","opozice",45.83
"Jihomoravský","Vyškov","Ivanovice na Hané","opozice",29.87
"Středočeský","Mladá Boleslav","Jabkenice","opozice",42.75
"Jihomoravský","Boskovice","Jabloňany","opozice",43.75
"Liberecký","Jilemnice","Jablonec nad Jizerou","opozice",45.4
"Liberecký","Jablonec nad Nisou","Jablonec nad Nisou","opozice",45.98
"Středočeský","Příbram","Jablonná","opozice",31.03
"Pardubický","Žamberk","Jablonné nad Orlicí","opozice",21.39
"Liberecký","Liberec","Jablonné v Podještědí","opozice",42.8
"Vysočina","Velké Meziříčí","Jabloňov","opozice",56.03
"Zlínský","Vsetín","Jablůnka","opozice",45.05
"Moravskoslezský","Jablunkov","Jablunkov","opozice",41.97
"Královéhradecký","Rychnov nad Kněžnou","Jahodov","opozice",39.28
"Karlovarský","Ostrov","Jáchymov","opozice",26.54
"Moravskoslezský","Opava","Jakartovice","opozice",19.16
"Moravskoslezský","Odry","Jakubčovice nad Odrou","opozice",22.07
"Vysočina","Moravské Budějovice","Jakubov u Moravských Budějovic","opozice",53.37
"Olomoucký","Šumperk","Jakubovice","opozice",21.53
"Zlínský","Uherské Hradiště","Jalubí","opozice",39
"Vysočina","Jihlava","Jamné","opozice",48.48
"Pardubický","Žamberk","Jamné nad Orlicí","opozice",12.76
"Jihomoravský","Moravský Krumlov","Jamolice","opozice",45.87
"Vysočina","Žďár nad Sázavou","Jámy","opozice",54.69
"Jihočeský","České Budějovice","Jankov","opozice",72.22
"Vysočina","Pelhřimov","Jankov","opozice",43.47
"Středočeský","Votice","Jankov","opozice",51.26
"Zlínský","Holešov","Jankovice","opozice",47.8
"Pardubický","Přelouč","Jankovice","opozice",18.86
"Zlínský","Uherské Hradiště","Jankovice","opozice",26.83
"Olomoucký","Šumperk","Janoušov","opozice",11.55
"Ústecký","Děčín","Janov","opozice",37.37
"Královéhradecký","Dobruška","Janov","opozice",41.38
"Moravskoslezský","Krnov","Janov","opozice",8.84
"Pardubický","Litomyšl","Janov","opozice",21.33
"Středočeský","Rakovník","Janov","opozice",23.64
"Liberecký","Jablonec nad Nisou","Janov nad Nisou","opozice",61.75
"Zlínský","Vsetín","Janová","opozice",50.73
"Moravskoslezský","Frýdlant nad Ostravicí","Janovice","opozice",42.85
"Plzeňský","Klatovy","Janovice nad Úhlavou","opozice",32.71
"Liberecký","Liberec","Janovice v Podještědí","opozice",26
"Ústecký","Děčín","Janská","opozice",20.59
"Královéhradecký","Trutnov","Janské Lázně","opozice",57.52
"Liberecký","Liberec","Janův Důl","opozice",42.37
"Zlínský","Valašské Meziříčí","Jarcová","opozice",41.45
"Zlínský","Kroměříž","Jarohněvice","opozice",34.62
"Královéhradecký","Jaroměř","Jaroměř","opozice",30.23
"Pardubický","Moravská Třebová","Jaroměřice","opozice",8.3
"Vysočina","Třebíč","Jaroměřice nad Rokytnou","opozice",32.83
"Pardubický","Holice","Jaroslav","opozice",7.61
"Jihomoravský","Znojmo","Jaroslavice","opozice",33.88
"Pardubický","Litomyšl","Jarošov","opozice",46.92
"Jihočeský","Jindřichův Hradec","Jarošov nad Nežárkou","opozice",47.91
"Plzeňský","Blovice","Jarov","opozice",25.93
"Plzeňský","Kralovice","Jarov","opozice",34.69
"Středočeský","Slaný","Jarpice","opozice",45.45
"Vysočina","Náměšť nad Oslavou","Jasenice","opozice",54.42
"Královéhradecký","Jaroměř","Jasenná","opozice",38.53
"Zlínský","Vizovice","Jasenná","opozice",43.31
"Plzeňský","Klatovy","Javor","opozice",60.71
"Vysočina","Nové Město na Moravě","Javorek","opozice",32.27
"Královéhradecký","Rychnov nad Kněžnou","Javornice","opozice",45.78
"Olomoucký","Jeseník","Javorník","opozice",22.43
"Pardubický","Svitavy","Javorník","opozice",17.97
"Jihomoravský","Veselí nad Moravou","Javorník","opozice",40.3
"Středočeský","Vlašim","Javorník","opozice",44.61
"Pardubický","Vysoké Mýto","Javorník","opozice",42.66
"Jihomoravský","Rosice","Javůrek","opozice",30.85
"Vysočina","Světlá nad Sázavou","Jedlá","opozice",32.26
"Jihočeský","Tábor","Jedlany","opozice",70.73
"Olomoucký","Zábřeh","Jedlí","opozice",45.69
"Pardubický","Polička","Jedlová","opozice",7.3
"Středočeský","Slaný","Jedomělice","opozice",41.12
"Pardubický","Přelouč","Jedousov","opozice",8.69
"Jihomoravský","Blansko","Jedovnice","opozice",48.18
"Pardubický","Ústí nad Orlicí","Jehnědí","opozice",7.89
"Vysočina","Moravské Budějovice","Jemnice","opozice",44.83
"Středočeský","Slaný","Jemníky","opozice",54.66
"Ústecký","Lovosice","Jenčice","opozice",37.5
"Středočeský","Černošice","Jeneč","opozice",49.36
"Pardubický","Hlinsko","Jeníkov","opozice",7.45
"Ústecký","Teplice","Jeníkov","opozice",23.08
"Královéhradecký","Hradec Králové","Jeníkovice","opozice",37.07
"Pardubický","Přelouč","Jeníkovice","opozice",17.08
"Karlovarský","Karlovy Vary","Jenišov","opozice",39.66
"Pardubický","Chrudim","Jenišovice","opozice",27.41
"Liberecký","Turnov","Jenišovice","opozice",60.68
"Středočeský","Brandýs nad Labem-Stará Boleslav","Jenštejn","opozice",77.27
"Vysočina","Jihlava","Jersín","opozice",30.77
"Královéhradecký","Hořice","Jeřice","opozice",32.67
"Vysočina","Chotěboř","Jeřišno","opozice",18.37
"Liberecký","Liberec","Jeřmanice","opozice",64.2
"Olomoucký","Konice","Jesenec","opozice",34.88
"Středočeský","Černošice","Jesenice","opozice",65.97
"Středočeský","Rakovník","Jesenice","opozice",29.09
"Středočeský","Sedlčany","Jesenice","opozice",45.83
"Olomoucký","Jeseník","Jeseník","opozice",37.78
"Moravskoslezský","Nový Jičín","Jeseník nad Odrou","opozice",29.85
"Liberecký","Semily","Jesenný","opozice",52.59
"Zlínský","Valašské Klobouky","Jestřabí","opozice",41.93
"Středočeský","Kolín","Jestřabí Lhota","opozice",44.14
"Liberecký","Jilemnice","Jestřabí v Krkonoších","opozice",68.83
"Liberecký","Česká Lípa","Jestřebí","opozice",36.84
"Královéhradecký","Nové Město nad Metují","Jestřebí","opozice",67.78
"Olomoucký","Zábřeh","Jestřebí","opozice",44.25
"Středočeský","Votice","Ješetice","opozice",46.88
"Jihočeský","Milevsko","Jetětice","opozice",52.22
"Královéhradecký","Broumov","Jetřichov","opozice",31.06
"Ústecký","Děčín","Jetřichovice","opozice",38.51
"Středočeský","Říčany","Jevany","opozice",67.14
"Pardubický","Moravská Třebová","Jevíčko","opozice",14.2
"Středočeský","Mělník","Jeviněves","opozice",65.76
"Jihomoravský","Znojmo","Jevišovice","opozice",35.38
"Jihomoravský","Mikulov","Jevišovka","opozice",36.27
"Pardubický","Pardubice","Jezbořice","opozice",25.76
"Moravskoslezský","Opava","Jezdkovice","opozice",28.09
"Vysočina","Jihlava","Jezdovice","opozice",42.85
"Olomoucký","Lipník nad Bečvou","Jezernice","opozice",35.41
"Jihomoravský","Moravský Krumlov","Jezeřany-Maršovice","opozice",51.98
"Vysočina","Jihlava","Ježená","opozice",34.69
"Jihomoravský","Vyškov","Ježkovice","opozice",34.64
"Vysočina","Humpolec","Ježov","opozice",59.99
"Jihomoravský","Kyjov","Ježov","opozice",42.71
"Plzeňský","Klatovy","Ježovy","opozice",39.35
"Jihočeský","Milevsko","Jickovice","opozice",27.02
"Královéhradecký","Jičín","Jičín","opozice",43.39
"Královéhradecký","Jičín","Jičíněves","opozice",20.55
"Vysočina","Jihlava","Jihlava","opozice",45.38
"Vysočina","Jihlava","Jihlávka","opozice",32.85
"Středočeský","Nymburk","Jíkev","opozice",29.17
"Vysočina","Chotěboř","Jilem","opozice",41.38
"Jihočeský","Jindřichův Hradec","Jilem","opozice",48.94
"Liberecký","Jilemnice","Jilemnice","opozice",56.07
"Ústecký","Děčín","Jílové","opozice",26.99
"Liberecký","Železný Brod","Jílové u Držkova","opozice",45.9
"Středočeský","Černošice","Jílové u Prahy","opozice",54.59
"Královéhradecký","Hradec Králové","Jílovice","opozice",42.69
"Jihočeský","Trhové Sviny","Jílovice","opozice",56.04
"Středočeský","Černošice","Jíloviště","opozice",60.73
"Ústecký","Louny","Jimlín","opozice",16.91
"Vysočina","Nové Město na Moravě","Jimramov","opozice",41.1
"Jihomoravský","Kuřim","Jinačovice","opozice",66.45
"Středočeský","Příbram","Jince","opozice",31.75
"Olomoucký","Hranice","Jindřichov","opozice",50.25
"Moravskoslezský","Krnov","Jindřichov","opozice",12.6
"Olomoucký","Šumperk","Jindřichov","opozice",19
"Karlovarský","Kraslice","Jindřichovice","opozice",22.59
"Vysočina","Telč","Jindřichovice","opozice",46.87
"Liberecký","Frýdlant","Jindřichovice pod Smrkem","opozice",46.48
"Jihočeský","Jindřichův Hradec","Jindřichův Hradec","opozice",52.03
"Jihočeský","Strakonice","Jinín","opozice",47.06
"Středočeský","Černošice","Jinočany","opozice",68.68
"Královéhradecký","Jičín","Jinolice","opozice",38.03
"Vysočina","Náměšť nad Oslavou","Jinošov","opozice",32.2
"Vysočina","Moravské Budějovice","Jiratice","opozice",59.99
"Ústecký","Chomutov","Jirkov","opozice",26.03
"Středočeský","Brandýs nad Labem-Stará Boleslav","Jirny","opozice",62.51
"Liberecký","Tanvald","Jiřetín pod Bukovou","opozice",24.21
"Ústecký","Varnsdorf","Jiřetín pod Jedlovou","opozice",45.02
"Vysočina","Humpolec","Jiřice","opozice",35.68
"Středočeský","Lysá nad Labem","Jiřice","opozice",50
"Jihomoravský","Moravský Krumlov","Jiřice u Miroslavi","opozice",30.28
"Jihomoravský","Znojmo","Jiřice u Moravských Budějovic","opozice",45
"Ústecký","Rumburk","Jiříkov","opozice",31.34
"Moravskoslezský","Rýmařov","Jiříkov","opozice",24.32
"Jihomoravský","Šlapanice","Jiříkovice","opozice",73.2
"Jihočeský","Tábor","Jistebnice","opozice",54.02
"Moravskoslezský","Bílovec","Jistebník","opozice",36.27
"Vysočina","Chotěboř","Jitkov","opozice",38.2
"Středočeský","Hořovice","Jivina","opozice",14.28
"Středočeský","Mnichovo Hradiště","Jivina","opozice",29.29
"Královéhradecký","Trutnov","Jívka","opozice",28.68
"Jihočeský","České Budějovice","Jivno","opozice",62.4
"Olomoucký","Šternberk","Jívová","opozice",38.64
"Vysočina","Velké Meziříčí","Jívoví","opozice",56.43
"Středočeský","Nymburk","Jizbice","opozice",37.4
"Středočeský","Mladá Boleslav","Jizerní Vtelno","opozice",43.81
"Jihomoravský","Hodonín","Josefov","opozice",61.32
"Karlovarský","Sokolov","Josefov","opozice",22.03
"Liberecký","Jablonec nad Nisou","Josefův Důl","opozice",41.78
"Středočeský","Mladá Boleslav","Josefův Důl","opozice",28.79
"Královéhradecký","Jičín","Kacákova Lhota","opozice",17.08
"Liberecký","Turnov","Kacanovy","opozice",55.99
"Plzeňský","Nýřany","Kaceřov","opozice",48.94
"Karlovarský","Sokolov","Kaceřov","opozice",12.37
"Středočeský","Kutná Hora","Kácov","opozice",42.79
"Středočeský","Kladno","Kačice","opozice",32.51
"Jihočeský","Jindřichův Hradec","Kačlehy","opozice",36.36
"Ústecký","Kadaň","Kadaň","opozice",39.99
"Středočeský","Mělník","Kadlín","opozice",27.59
"Vysočina","Velké Meziříčí","Kadolec","opozice",17.39
"Jihočeský","Blatná","Kadov","opozice",39.85
"Jihomoravský","Moravský Krumlov","Kadov","opozice",31.11
"Vysočina","Nové Město na Moravě","Kadov","opozice",52.09
"Jihočeský","Český Krumlov","Kájov","opozice",54.56
"Plzeňský","Rokycany","Kakejcov","opozice",32.5
"Ústecký","Chomutov","Kalek","opozice",41.56
"Jihočeský","Strakonice","Kalenice","opozice",76.47
"Vysočina","Jihlava","Kalhov","opozice",29.41
"Vysočina","Humpolec","Kaliště","opozice",36.45
"Vysočina","Jihlava","Kaliště","opozice",26.42
"Středočeský","Říčany","Kaliště","opozice",60.24
"Středočeský","Rakovník","Kalivody","opozice",40
"Jihomoravský","Tišnov","Kaly","opozice",56.97
"Středočeský","Vlašim","Kamberk","opozice",46.29
"Ústecký","Děčín","Kámen","opozice",31.25
"Vysočina","Havlíčkův Brod","Kámen","opozice",36.03
"Vysočina","Pacov","Kámen","opozice",51.85
"Plzeňský","Rokycany","Kamenec","opozice",17.65
"Pardubický","Polička","Kamenec u Poličky","opozice",20.15
"Vysočina","Jihlava","Kamenice","opozice",45.16
"Středočeský","Říčany","Kamenice","opozice",61.52
"Vysočina","Pelhřimov","Kamenice nad Lipou","opozice",42.43
"Liberecký","Nový Bor","Kamenický Šenov","opozice",43.18
"Pardubický","Hlinsko","Kameničky","opozice",5.19
"Pardubický","Žamberk","Kameničná","opozice",17.64
"Vysočina","Jihlava","Kamenná","opozice",25.68
"Jihočeský","Trhové Sviny","Kamenná","opozice",57.61
"Vysočina","Třebíč","Kamenná","opozice",50.69
"Olomoucký","Zábřeh","Kamenná","opozice",28.69
"Pardubický","Svitavy","Kamenná Horka","opozice",5.17
"Vysočina","Světlá nad Sázavou","Kamenná Lhota","opozice",35.45
"Středočeský","Nymburk","Kamenné Zboží","opozice",41.94
"Středočeský","Kladno","Kamenné Žehrovice","opozice",43.02
"Jihočeský","Jindřichův Hradec","Kamenný Malíkov","opozice",44
"Středočeský","Slaný","Kamenný Most","opozice",20.66
"Středočeský","Černošice","Kamenný Přívoz","opozice",45.36
"Jihočeský","České Budějovice","Kamenný Újezd","opozice",73.72
"Plzeňský","Rokycany","Kamenný Újezd","opozice",50.7
"Ústecký","Litoměřice","Kamýk","opozice",41.26
"Středočeský","Příbram","Kamýk nad Vltavou","opozice",47.98
"Plzeňský","Domažlice","Kanice","opozice",45.47
"Jihomoravský","Šlapanice","Kanice","opozice",71.12
"Plzeňský","Domažlice","Kaničky","opozice",36
"Středočeský","Mělník","Kanina","opozice",42.31
"Moravskoslezský","Frýdek-Místek","Kaňovice","opozice",38.26
"Zlínský","Zlín","Kaňovice","opozice",21.53
"Jihočeský","Kaplice","Kaplice","opozice",53.01
"Královéhradecký","Hradec Králové","Káranice","opozice",40
"Středočeský","Brandýs nad Labem-Stará Boleslav","Káraný","opozice",57.58
"Jihočeský","Jindřichův Hradec","Kardašova Řečice","opozice",57.39
"Pardubický","Svitavy","Karle","opozice",12.65
"Středočeský","Černošice","Karlík","opozice",69.15
"Jihomoravský","Hodonín","Karlín","opozice",34.33
"Vysočina","Žďár nad Sázavou","Karlov","opozice",40
"Moravskoslezský","Bruntál","Karlova Studánka","opozice",57.97
"Středočeský","Rakovník","Karlova Ves","opozice",10.2
"Moravskoslezský","Bruntál","Karlovice","opozice",17.52
"Liberecký","Turnov","Karlovice","opozice",56.92
"Zlínský","Zlín","Karlovice","opozice",64.17
"Karlovarský","Karlovy Vary","Karlovy Vary","opozice",33.75
"Středočeský","Beroun","Karlštejn","opozice",52.15
"Zlínský","Kroměříž","Karolín","opozice",38.46
"Zlínský","Vsetín","Karolinka","opozice",43.4
"Moravskoslezský","Karviná","Karviná","opozice",14.76
"Plzeňský","Rokycany","Kařez","opozice",43.11
"Plzeňský","Rokycany","Kařízek","opozice",88.46
"Pardubický","Pardubice","Kasalice","opozice",19.41
"Plzeňský","Nepomuk","Kasejovice","opozice",32.85
"Zlínský","Zlín","Kašava","opozice",52.91
"Jihomoravský","Hustopeče","Kašnice","opozice",29.33
"Plzeňský","Sušice","Kašperské Hory","opozice",34.42
"Moravskoslezský","Kopřivnice","Kateřinice","opozice",33.18
"Zlínský","Vsetín","Kateřinice","opozice",49.06
"Jihočeský","Soběslav","Katov","opozice",64.52
"Jihomoravský","Tišnov","Katov","opozice",68.89
"Jihočeský","Strakonice","Katovice","opozice",63.72
"Středočeský","Mladá Boleslav","Katusice","opozice",33.72
"Plzeňský","Kralovice","Kaznějov","opozice",32.67
"Středočeský","Kolín","Kbel","opozice",50.69
"Plzeňský","Přeštice","Kbel","opozice",19.32
"Plzeňský","Nýřany","Kbelany","opozice",32.36
"Královéhradecký","Jičín","Kbelnice","opozice",49.41
"Vysočina","Moravské Budějovice","Kdousov","opozice",47.92
"Plzeňský","Domažlice","Kdyně","opozice",40.79
"Ústecký","Lovosice","Keblice","opozice",24.14
"Středočeský","Vlašim","Keblov","opozice",39.13
"Plzeňský","Horažďovice","Kejnice","opozice",47.37
"Vysočina","Humpolec","Kejžlice","opozice",39.71
"Zlínský","Valašské Meziříčí","Kelč","opozice",49.3
"Jihomoravský","Kyjov","Kelčany","opozice",35.29
"Zlínský","Zlín","Kelníky","opozice",61.76
"Jihočeský","Písek","Kestřany","opozice",53.36
"Jihomoravský","Ivančice","Ketkovice","opozice",32.27
"Plzeňský","Rokycany","Klabava","opozice",44.88
"Zlínský","Valašské Meziříčí","Kladeruby","opozice",37.61
"Vysočina","Náměšť nad Oslavou","Kladeruby nad Oslavou","opozice",25.71
"Olomoucký","Konice","Kladky","opozice",32.59
"Olomoucký","Lipník nad Bečvou","Kladníky","opozice",38.64
"Pardubický","Hlinsko","Kladno","opozice",2.98
"Středočeský","Kladno","Kladno","opozice",40.99
"Plzeňský","Rokycany","Kladruby","opozice",40.48
"Jihočeský","Strakonice","Kladruby","opozice",37.21
"Plzeňský","Stříbro","Kladruby","opozice",31.3
"Ústecký","Teplice","Kladruby","opozice",26.05
"Středočeský","Vlašim","Kladruby","opozice",54.05
"Pardubický","Přelouč","Kladruby nad Labem","opozice",16.17
"Královéhradecký","Hradec Králové","Klamoš","opozice",23.34
"Ústecký","Lovosice","Klapý","opozice",28.57
