"KRAJ","ORP","STRANA","ZKRATKA","BLOK","HLASYABS","HLASYOBEC","HLASYPROC"
"Plzeňský","Stod","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",52,5288,0.98
"Jihočeský","Strakonice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",91,12114,0.75
"Plzeňský","Stříbro","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",41,3881,1.06
"Plzeňský","Sušice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",53,6204,0.85
"Vysočina","Světlá nad Sázavou","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",19,5435,0.35
"Pardubický","Svitavy","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",40,7113,0.56
"Jihomoravský","Šlapanice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",45,22246,0.2
"Olomoucký","Šternberk","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",41,5686,0.72
"Olomoucký","Šumperk","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",84,16842,0.5
"Jihočeský","Tábor","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",85,23228,0.37
"Plzeňský","Tachov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",62,7375,0.84
"Liberecký","Tanvald","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",13,4731,0.27
"Vysočina","Telč","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",7,4011,0.17
"Ústecký","Teplice","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",103,22582,0.46
"Jihomoravský","Tišnov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",24,9650,0.25
"Jihočeský","Trhové Sviny","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",14,5939,0.24
"Královéhradecký","Trutnov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",78,15277,0.51
"Vysočina","Třebíč","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",73,20732,0.35
"Jihočeský","Třeboň","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",33,6902,0.48
"Moravskoslezský","Třinec","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",37,10873,0.34
"Liberecký","Turnov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",35,9736,0.36
"Jihočeský","Týn nad Vltavou","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",13,4048,0.32
"Zlínský","Uherské Hradiště","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",116,24518,0.47
"Zlínský","Uherský Brod","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",50,13102,0.38
"Olomoucký","Uničov","Demokratická strana zelených - ZA PRÁVA ZVÍŘAT","DSZ-ZA PR.ZVÍŘ.","",31,5424,0.57
